# Oscilloscope file ./20191024_894014.bin
# Channel 2
Time / s;Voltage / V
0;0.24
0.1;0.24
0.2;0.32
0.3;0.32
0.4;0.24
0.5;0.16
0.6;0.08
0.7;0.08
0.8;0.08
0.9;0.08
1;0.08
1.1;0.08
1.2;0.08
1.3;0.08
1.4;0.08
1.5;0.08
1.6;0.08
1.7;0.08
1.8;0
1.9;0.08
2;0.08
2.1;0.08
2.2;0.08
2.3;0.16
2.4;0.08
2.5;0.08
2.6;0
2.7;0.08
2.8;0.08
2.9;0.08
3;-4.48
3.1;-4.48
3.2;-4.48
3.3;-4.48
3.4;-4.48
3.5;-4.48
3.6;-4.48
3.7;-4.48
3.8;0.08
3.9;0.08
4;0.08
4.1;0.08
4.2;0.08
4.3;0.08
4.4;0.16
4.5;0.16
4.6;0.16
4.7;0.16
4.8;0.08
4.9;0.08
5;0
5.1;0.08
5.2;0
5.3;0.08
5.4;0
5.5;0
5.6;0
5.7;0
5.8;0
5.9;0
6;0
6.1;0
6.2;0.08
6.3;0.08
6.4;0.08
6.5;0.08
6.6;0
6.7;0
6.8;0
6.9;0.08
7;0.08
7.1;0
7.2;0.08
7.3;0
7.4;0
7.5;0
7.6;0.08
7.7;0
7.8;0
7.9;0
8;0
8.1;0.08
8.2;0.08
8.3;0
8.4;0
8.5;0.08
8.6;0
8.7;0
8.8;0.08
8.9;0.08
9;0.08
9.1;0
9.2;0
9.3;0.08
9.4;0.08
9.5;0
9.6;0
9.7;0.08
9.8;0
9.9;0.08
10;0.08
10.1;0
10.2;0
10.3;0
10.4;0
10.5;0
10.6;0
10.7;0
10.8;0
10.9;0.08
11;0.08
11.1;0
11.2;0
11.3;0.08
11.4;0
11.5;0
11.6;0.08
11.7;0
11.8;0
11.9;0.08
12;0.08
12.1;0
12.2;0
12.3;0
12.4;0
12.5;0
12.6;0.08
12.7;0
12.8;0
12.9;0
13;0.08
13.1;0.08
13.2;0
13.3;0.08
13.4;0
13.5;0
13.6;0
13.7;0
13.8;0.08
13.9;0.08
14;0
14.1;0
14.2;0
14.3;0.08
14.4;0.08
14.5;0.08
14.6;0.08
14.7;0
14.8;0
14.9;0
15;0
15.1;0
15.2;0.08
15.3;0.08
15.4;0.08
15.5;0.08
15.6;0.08
15.7;0.08
15.8;0.08
15.9;0
16;0
16.1;0
16.2;0
16.3;0.08
16.4;0
16.5;0.08
16.6;0.08
16.7;0.08
16.8;0.16
16.9;0.56
17;1.68
17.1;2.96
17.2;4
17.3;4.88
17.4;5.36
17.5;5.6
17.6;5.76
17.7;5.52
17.8;5.28
17.9;4.72
18;3.12
18.1;1.12
18.2;0.32
18.3;0.08
18.4;0.08
18.5;0.08
18.6;0
18.7;0.08
18.8;0.08
18.9;0.16
19;0.32
19.1;0.8
19.2;1.2
19.3;1.52
19.4;1.68
19.5;1.92
19.6;1.92
19.7;1.92
19.8;1.92
19.9;1.76
20;1.52
20.1;0.88
20.2;0.32
20.3;0.08
20.4;0.08
20.5;0.08
20.6;0.08
20.7;0.08
20.8;0.08
20.9;0.08
21;0.08
21.1;0.16
21.2;0.08
21.3;0.08
21.4;0.16
21.5;0.16
21.6;0.16
21.7;0.24
21.8;0.24
21.9;0.32
22;0.32
22.1;0.24
22.2;0.24
22.3;0.16
22.4;0.08
22.5;0.08
22.6;0.08
22.7;0.08
22.8;0.08
22.9;0.16
23;0.08
23.1;0.08
23.2;0.08
23.3;0.08
23.4;0.08
23.5;0.08
23.6;0.08
23.7;0.08
23.8;0.08
23.9;0.08
24;0.16
24.1;0.08
24.2;0.16
24.3;0.08
24.4;0
24.5;0
24.6;0
24.7;-4.48
24.8;-4.48
24.9;-4.48
25;-4.48
25.1;-4.48
25.2;-4.48
25.3;-4.48
25.4;-4.48
25.5;-4.48
25.6;0.08
25.7;0.08
25.8;0
25.9;0.08
26;0.08
26.1;0.08
26.2;0.16
26.3;0.16
26.4;0.24
26.5;0.08
26.6;0.08
26.7;0
26.8;0.08
26.9;0
27;0
27.1;0.08
27.2;0
27.3;0
27.4;0
27.5;0.08
27.6;0.08
27.7;0.08
27.8;0
27.9;0.08
