# Oscilloscope file ./20191024_900339.bin
# Channel 1
Time / s;Voltage / V
0;-47.6
0.1;-47.6
0.2;-47.6
0.3;-47.2
0.4;-47.2
0.5;-47.2
0.6;-47.2
0.7;-47.2
0.8;-47.2
0.9;-47.2
1;-47.2
1.1;-47.2
1.2;-46.8
1.3;-47.2
1.4;-47.2
1.5;-47.2
1.6;-46.8
1.7;-47.2
1.8;-46.8
1.9;-46.8
2;-46.8
2.1;-46.8
2.2;-46.8
2.3;-47.2
2.4;-47.2
2.5;-46.8
2.6;-47.2
2.7;-46.8
2.8;-46.8
2.9;-46.8
3;-46.8
3.1;-46.8
3.2;-46.8
3.3;-47.2
3.4;-46.8
3.5;-46.8
3.6;-46.8
3.7;-46.8
3.8;-46.8
3.9;-46.8
4;-46.8
4.1;-46.8
4.2;-46.8
4.3;-47.2
4.4;-46.8
4.5;-47.2
4.6;-47.2
4.7;-46.8
4.8;-46.8
4.9;-47.2
5;-46.8
5.1;-46.8
5.2;-46.8
5.3;-47.2
5.4;-46.8
5.5;-46.8
5.6;-46.8
5.7;-46.8
5.8;-46.8
5.9;-46.8
6;-47.2
6.1;-46.8
6.2;-47.2
6.3;-47.2
6.4;-47.2
6.5;-47.2
6.6;-46.8
6.7;-47.2
6.8;-47.2
6.9;-47.2
7;-47.2
7.1;-47.6
7.2;-47.6
7.3;-47.6
7.4;-47.6
7.5;-48
7.6;-48
7.7;-48
7.8;-48
7.9;-48.4
8;-48
8.1;-48.4
8.2;-48.4
8.3;-48.8
8.4;-48.8
8.5;-48.8
8.6;-48.8
8.7;-49.2
8.8;-49.2
8.9;-49.2
9;-49.2
9.1;-49.6
9.2;-49.6
9.3;-49.6
9.4;-50
9.5;-50
9.6;-50
9.7;-50
9.8;-50
9.9;-50.4
10;-50.4
10.1;-50.4
10.2;-50.8
10.3;-50.4
10.4;-50.8
10.5;-50.8
10.6;-50.4
10.7;-50.8
10.8;-50.8
10.9;-50.8
11;-50.8
11.1;-51.2
11.2;-51.2
11.3;-51.2
11.4;-51.2
11.5;-51.2
11.6;-51.2
11.7;-51.2
11.8;-51.2
11.9;-51.2
12;-51.6
12.1;-51.6
12.2;-52
12.3;-51.6
12.4;-51.6
12.5;-51.6
12.6;-51.6
12.7;-52
12.8;-52
12.9;-52
13;-52
13.1;-52
13.2;-52.4
13.3;-52
13.4;-52.4
13.5;-52.4
13.6;-52.4
13.7;-52.4
13.8;-52.8
13.9;-52.4
14;-52.8
14.1;-52.8
14.2;-52.8
14.3;-52.8
14.4;-53.2
14.5;-53.2
14.6;-53.2
14.7;-53.2
14.8;-53.2
14.9;-53.6
15;-53.6
15.1;-53.6
15.2;-53.6
15.3;-53.6
15.4;-53.6
15.5;-54
15.6;-54
15.7;-54
15.8;-54
15.9;-54.4
16;-54.4
16.1;-54
16.2;-54.4
16.3;-54.4
16.4;-54.4
16.5;-54.4
16.6;-54.8
16.7;-54.4
16.8;-54.8
16.9;-54.8
17;-54.8
17.1;-55.2
17.2;-55.6
17.3;-55.6
17.4;-55.6
17.5;-56
17.6;-55.6
17.7;-56.4
17.8;-56
17.9;-56.4
18;-56.4
18.1;-56.4
18.2;-56.4
18.3;-56.4
18.4;-56.8
18.5;-56.8
18.6;-56.8
18.7;-57.2
18.8;-56.8
18.9;-57.6
19;-57.2
19.1;-57.6
19.2;-57.6
19.3;-57.6
19.4;-57.6
19.5;-57.6
19.6;-57.6
19.7;-58
19.8;-58
19.9;-58
20;-58
20.1;-58.4
20.2;-58.4
20.3;-58.4
20.4;-58.4
20.5;-58.4
20.6;-58.8
20.7;-58.8
20.8;-59.2
20.9;-59.2
21;-59.2
21.1;-59.2
21.2;-59.2
21.3;-59.2
21.4;-59.6
21.5;-59.6
21.6;-59.6
21.7;-60
21.8;-59.6
21.9;-59.6
22;-59.6
22.1;-59.6
22.2;-60
22.3;-60
22.4;-60
22.5;-60
22.6;-60
22.7;-60
22.8;-60
22.9;-60
23;-60
23.1;-60
23.2;-60.4
23.3;-60
23.4;-60.4
23.5;-60.4
23.6;-60.4
23.7;-60.8
23.8;-60.8
23.9;-60.8
24;-60.8
24.1;-60.8
24.2;-61.2
24.3;-61.2
24.4;-61.6
24.5;-61.6
24.6;-61.6
24.7;-61.6
24.8;-61.6
24.9;-62
25;-62
25.1;-62
25.2;-62
25.3;-62.4
25.4;-62.4
25.5;-62.4
25.6;-62.4
25.7;-62.4
25.8;-62.8
25.9;-62.8
26;-62.8
26.1;-62.8
26.2;-63.2
26.3;-62.8
26.4;-62.8
26.5;-63.2
26.6;-63.2
26.7;-63.2
26.8;-63.2
26.9;-63.2
27;-63.6
27.1;-63.6
27.2;-63.6
27.3;-63.6
27.4;-63.6
27.5;-64
27.6;-64
27.7;-64
27.8;-64
27.9;-64
28;-64
28.1;-64.4
28.2;-64
28.3;-64.4
28.4;-64.4
28.5;-64
28.6;-64
28.7;-64
28.8;-64.4
28.9;-64.4
29;-64.8
29.1;-64.8
29.2;-64.8
29.3;-64.8
29.4;-64.8
29.5;-64.8
29.6;-65.2
29.7;-65.2
29.8;-65.2
29.9;-65.2
30;-65.2
30.1;-65.2
30.2;-65.2
30.3;-65.6
30.4;-65.6
30.5;-65.6
30.6;-65.6
30.7;-65.6
30.8;-65.6
30.9;-65.6
31;-66
31.1;-66
31.2;-66
31.3;-66
31.4;-66
31.5;-66
31.6;-66
31.7;-66
31.8;-66.4
31.9;-66.4
32;-66.4
32.1;-66.4
32.2;-66
32.3;-66.4
32.4;-66.4
32.5;-66.4
32.6;-66.4
32.7;-66.4
32.8;-66.4
32.9;-66.8
33;-66.8
33.1;-66.8
33.2;-67.2
33.3;-66.8
33.4;-66.8
33.5;-67.2
33.6;-67.2
33.7;-67.2
33.8;-67.2
33.9;-67.2
34;-67.2
34.1;-67.2
34.2;-67.6
34.3;-67.2
34.4;-67.6
34.5;-67.6
34.6;-67.6
34.7;-67.6
34.8;-67.6
34.9;-68
35;-67.6
35.1;-67.6
35.2;-68
35.3;-67.6
35.4;-67.6
35.5;-68
35.6;-68
35.7;-68
35.8;-68
35.9;-68
36;-68
36.1;-68
36.2;-68
36.3;-67.6
36.4;-68
36.5;-68
36.6;-68
36.7;-68
36.8;-68
36.9;-68
37;-68
37.1;-68
37.2;-68
37.3;-67.6
37.4;-68
37.5;-68
37.6;-67.6
37.7;-68
37.8;-68
37.9;-68
38;-68
38.1;-68
38.2;-68
38.3;-22.8
