Data Point - T	Count Rate (Hz) - T	Data Point - A	Count Rate (Hz) - A	Data Point - B	Count Rate (Hz) - B
352	232,698k	352	142,547k	352	0
353	231,328k	353	142,915k	353	0
354	231,442k	354	142,903k	354	0
355	231,539k	355	142,33k	355	0
356	231,426k	356	142,017k	356	0
357	230,761k	357	141,952k	357	0
358	231,318k	358	142,613k	358	0
359	231,359k	359	142,054k	359	0
360	232,095k	360	141,607k	360	0
361	232,417k	361	142,163k	361	0
362	231,288k	362	142,795k	362	0
363	231,969k	363	142,17k	363	0
364	231,849k	364	141,682k	364	0
365	231,166k	365	142,542k	365	0
366	231,589k	366	142,494k	366	0
367	231,156k	367	142,553k	367	0
368	230,36k	368	141,701k	368	0
369	232,035k	369	142,324k	369	0
370	231,619k	370	143,276k	370	0
371	231,713k	371	142,498k	371	0
372	230,918k	372	142,298k	372	0
373	230,473k	373	143,035k	373	0
374	230,803k	374	143,184k	374	0
375	232,252k	375	142,232k	375	0
376	231,824k	376	142,111k	376	0
377	232,83k	377	142,822k	377	0
378	231,106k	378	142,864k	378	0
379	230,939k	379	142,045k	379	0
380	231,021k	380	142,772k	380	0
381	231,116k	381	143,033k	381	0
382	230,792k	382	142,513k	382	0
383	231,704k	383	142,404k	383	0
384	231,56k	384	143,114k	384	0
385	231,734k	385	141,902k	385	0
386	231,225k	386	142,648k	386	0
387	231,894k	387	142,208k	387	0
388	231,707k	388	143,624k	388	0
389	233,89k	389	142,59k	389	0
390	230,253k	390	142,356k	390	0
391	230,036k	391	142,327k	391	0
392	231,157k	392	142,673k	392	0
393	231,947k	393	142,738k	393	0
394	231,936k	394	141,18k	394	0
395	231,629k	395	142,758k	395	0
396	231,026k	396	142,004k	396	0
397	231,753k	397	141,813k	397	0
398	231,591k	398	141,971k	398	0
399	231,224k	399	141,392k	399	0
400	232,509k	400	142,086k	400	0
401	231,409k	401	141,805k	401	0
402	231,837k	402	142,846k	402	0
403	230,543k	403	142,004k	403	0
404	231,708k	404	142,927k	404	0
405	232,068k	405	142,256k	405	0
406	231,248k	406	142,019k	406	0
407	230,863k	407	142,774k	407	0
408	231,493k	408	142,07k	408	0
409	231,121k	409	141,789k	409	0
410	232,801k	410	141,711k	410	0
411	231,487k	411	141,289k	411	0
412	232,079k	412	142,277k	412	0
413	230,797k	413	141,768k	413	0
414	231,056k	414	143,04k	414	0
415	231,777k	415	141,42k	415	0
416	232,626k	416	142,081k	416	0
417	232,332k	417	142,274k	417	0
418	230,668k	418	143,075k	418	0
419	232,265k	419	141,92k	419	0
420	231,767k	420	142,292k	420	0
421	232,003k	421	143,583k	421	0
422	232,289k	422	142,055k	422	0
423	232,708k	423	142,75k	423	0
424	232,26k	424	142,573k	424	0
425	232,203k	425	141,864k	425	0
426	231,734k	426	142,299k	426	0
427	230,871k	427	142,192k	427	0
428	231,178k	428	142,133k	428	0
429	230,403k	429	142,649k	429	0
430	232,647k	430	142,216k	430	0
431	231,624k	431	142,16k	431	0
432	232,455k	432	141,973k	432	0
433	232,111k	433	141,822k	433	0
434	231,17k	434	142,937k	434	0
435	231,463k	435	142,897k	435	0
436	230,826k	436	142,543k	436	0
437	231,092k	437	142,132k	437	0
438	231,25k	438	141,462k	438	0
439	232,314k	439	142,492k	439	0
440	232,474k	440	143,127k	440	0
441	232,156k	441	141,082k	441	0
442	230,756k	442	142,908k	442	0
443	232,6k	443	142,403k	443	0
444	232,619k	444	142,874k	444	0
445	231,73k	445	143,593k	445	0
446	232,45k	446	141,596k	446	0
447	230,457k	447	141,944k	447	0
448	231,039k	448	143,23k	448	0
449	231,598k	449	142,198k	449	0
450	232,25k	450	142,818k	450	0
451	232,875k	451	141,618k	451	0
