Data Point - T&A	 g2 (0) - T&A	Data Point - T&B	 g2 (0) - T&B
585	63,3724	585	NaN
586	62,4191	586	NaN
587	63,1717	587	NaN
588	62,8219	588	NaN
589	63,3047	589	NaN
590	64,1156	590	NaN
591	62,8704	591	NaN
592	62,2404	592	NaN
593	61,6533	593	NaN
594	63,3375	594	NaN
595	64,451	595	NaN
596	64,0938	596	NaN
597	62,9634	597	NaN
598	61,2309	598	NaN
599	62,8641	599	NaN
600	63,751	600	NaN
601	62,9547	601	NaN
602	62,2168	602	NaN
603	63,3815	603	NaN
604	63,5722	604	NaN
605	62,9859	605	NaN
606	64,8494	606	NaN
607	61,9169	607	NaN
608	62,4936	608	NaN
609	62,9422	609	NaN
610	62,1634	610	NaN
611	61,0629	611	NaN
612	63,1776	612	NaN
613	62,0329	613	NaN
614	63,1241	614	NaN
615	63,5642	615	NaN
616	63,2439	616	NaN
617	63,09	617	NaN
618	62,357	618	NaN
619	61,814	619	NaN
620	62,577	620	NaN
621	61,9007	621	NaN
622	61,79	622	NaN
623	61,6493	623	NaN
624	63,3247	624	NaN
625	63,2433	625	NaN
626	63,7104	626	NaN
627	62,4626	627	NaN
628	62,5044	628	NaN
629	62,5387	629	NaN
630	61,3926	630	NaN
631	62,4899	631	NaN
632	62,4446	632	NaN
633	63,4791	633	NaN
634	61,1742	634	NaN
635	62,1203	635	NaN
636	60,7467	636	NaN
637	61,1031	637	NaN
638	60,7664	638	NaN
639	62,5668	639	NaN
640	63,8228	640	NaN
641	62,6374	641	NaN
642	64,4281	642	NaN
643	63,3244	643	NaN
644	63,0989	644	NaN
645	63,3259	645	NaN
646	61,3563	646	NaN
647	63,2257	647	NaN
648	60,9498	648	NaN
649	61,8265	649	NaN
650	62,8923	650	NaN
651	62,6772	651	NaN
652	63,0689	652	NaN
653	62,0099	653	NaN
654	62,9568	654	NaN
655	62,2619	655	NaN
656	60,8541	656	NaN
657	63,0831	657	NaN
658	62,7862	658	NaN
659	61,1727	659	NaN
660	63,342	660	NaN
661	61,7873	661	NaN
662	62,6011	662	NaN
663	63,2312	663	NaN
664	62,5457	664	NaN
665	61,1994	665	NaN
666	63,7453	666	NaN
667	61,566	667	NaN
668	62,4416	668	NaN
669	62,7174	669	NaN
670	60,7541	670	NaN
671	61,4879	671	NaN
672	62,5373	672	NaN
673	63,0825	673	NaN
674	62,9873	674	NaN
675	61,1437	675	NaN
676	62,7917	676	NaN
677	61,9974	677	NaN
678	62,6378	678	NaN
679	61,9308	679	NaN
680	63,5558	680	NaN
681	61,3829	681	NaN
682	62,267	682	NaN
683	62,0979	683	NaN
684	62,8941	684	NaN
